,SYMBOL,EXPIRE_DATE,STRIKE,C_BID,C_ASK,C_IV,C_OI,C_VOLUME,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,UNDERLYING_LAST,P_BID,P_ASK,P_IV,P_OI,P_VOLUME,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_LAST,QUOTE_DATE,C_MID,P_MID,DTE,T,r,q,b
6292,SPXW,2026-03-13,6705,212.7,220.7,0.2054,3.0,4.0,0.7389,0.0012,4.3896,-3.2153,1.7328,212.56,6878.8799,41.1,41.6,0.2042,30.0,123.0,-0.2612,0.0012,4.3896,-3.2153,-0.651,43.62,2026-02-27,216.7,41.35,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6293,SPXW,2026-03-13,6710,210.6,216.1,0.2038,23.0,38.0,0.7339,0.0012,4.4313,-3.2311,1.722,208.47,6878.8799,42.0,42.5,0.2032,138.0,135.0,-0.2663,0.0012,4.4313,-3.2311,-0.6636,43.6,2026-02-27,213.35,42.25,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6294,SPXW,2026-03-13,6715,204.5,212.5,0.2025,5.0,0.0,0.7287,0.0012,4.4729,-3.2462,1.7109,225.95,6878.8799,42.9,43.4,0.202,53.0,18.0,-0.2714,0.0012,4.4729,-3.2462,-0.6765,44.79,2026-02-27,208.5,43.15,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6295,SPXW,2026-03-13,6720,202.9,207.9,0.2013,11.0,32.0,0.7235,0.0012,4.5144,-3.2606,1.6994,197.45,6878.8799,43.8,44.3,0.2008,161.0,1066.0,-0.2767,0.0012,4.5144,-3.2606,-0.6897,44.47,2026-02-27,205.4,44.05,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6296,SPXW,2026-03-13,6725,198.4,203.8,0.2006,37.0,16.0,0.7181,0.0013,4.5558,-3.2744,1.6877,197.8,6878.8799,44.7,45.2,0.1998,387.0,153.0,-0.282,0.0013,4.5558,-3.2744,-0.7033,47.13,2026-02-27,201.10000000000002,44.95,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6297,SPXW,2026-03-13,6730,194.8,199.7,0.1994,17.0,1.0,0.7127,0.0013,4.5968,-3.2873,1.6756,182.9,6878.8799,45.6,46.1,0.1988,285.0,151.0,-0.2875,0.0013,4.5968,-3.2873,-0.7171,45.35,2026-02-27,197.25,45.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6298,SPXW,2026-03-13,6735,188.3,196.2,0.1982,8.0,0.0,0.7071,0.0013,4.6373,-3.2994,1.6632,182.51,6878.8799,46.6,47.1,0.1976,102.0,34.0,-0.293,0.0013,4.6373,-3.2994,-0.7313,46.25,2026-02-27,192.25,46.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6299,SPXW,2026-03-13,6740,186.8,191.6,0.1973,12.0,7.0,0.7015,0.0013,4.677,-3.3106,1.6506,188.47,6878.8799,47.6,48.1,0.1965,286.0,45.0,-0.2987,0.0013,4.677,-3.3106,-0.7457,49.83,2026-02-27,189.2,47.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6300,SPXW,2026-03-13,6745,180.3,188.2,0.1961,5.0,16.0,0.6957,0.0013,4.7159,-3.321,1.6379,182.57,6878.8799,48.5,49.0,0.1952,98.0,55.0,-0.3044,0.0013,4.7159,-3.321,-0.7602,48.25,2026-02-27,184.25,48.75,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6301,SPXW,2026-03-13,6750,178.9,182.2,0.1941,87.0,26.0,0.6899,0.0014,4.754,-3.3306,1.625,177.0,6878.8799,49.6,50.1,0.1942,1269.0,566.0,-0.3103,0.0014,4.754,-3.3306,-0.7748,48.95,2026-02-27,180.55,49.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6302,SPXW,2026-03-13,6755,176.4,177.2,0.1929,1.0,6.0,0.6839,0.0014,4.7912,-3.3392,1.6119,161.8,6878.8799,50.6,51.1,0.1931,162.0,104.0,-0.3162,0.0014,4.7912,-3.3392,-0.7897,51.58,2026-02-27,176.8,50.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6303,SPXW,2026-03-13,6760,172.4,173.2,0.1918,27.0,18.0,0.6779,0.0014,4.8278,-3.3468,1.5987,167.4,6878.8799,51.6,52.2,0.1919,174.0,381.0,-0.3223,0.0014,4.8278,-3.3468,-0.8047,52.61,2026-02-27,172.8,51.900000000000006,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6304,SPXW,2026-03-13,6765,168.6,169.2,0.1907,6.0,1.0,0.6717,0.0014,4.8639,-3.3534,1.5851,159.72,6878.8799,52.7,53.2,0.1907,181.0,536.0,-0.3285,0.0014,4.8639,-3.3534,-0.8201,52.91,2026-02-27,168.89999999999998,52.95,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6305,SPXW,2026-03-13,6770,164.6,165.4,0.1894,19.0,5.0,0.6654,0.0014,4.8994,-3.359,1.5712,163.63,6878.8799,53.8,54.4,0.1895,358.0,3109.0,-0.3347,0.0014,4.8994,-3.359,-0.8358,54.53,2026-02-27,165.0,54.099999999999994,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6306,SPXW,2026-03-13,6775,160.9,161.6,0.1883,159.0,2.0,0.659,0.0014,4.9344,-3.3636,1.5568,150.58,6878.8799,54.9,55.5,0.1884,409.0,2377.0,-0.3411,0.0014,4.9344,-3.3636,-0.8519,55.66,2026-02-27,161.25,55.2,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6307,SPXW,2026-03-13,6780,157.0,157.6,0.1871,82.0,10.0,0.6525,0.0015,4.9687,-3.367,1.542,144.9,6878.8799,56.1,56.6,0.1872,1197.0,141.0,-0.3476,0.0015,4.9687,-3.367,-0.8685,57.21,2026-02-27,157.3,56.35,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6308,SPXW,2026-03-13,6785,153.2,153.8,0.1858,15.0,7.0,0.6459,0.0015,5.0021,-3.3692,1.5268,146.8,6878.8799,57.2,57.8,0.186,261.0,79.0,-0.3543,0.0015,5.0021,-3.3692,-0.8854,58.2,2026-02-27,153.5,57.5,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6309,SPXW,2026-03-13,6790,149.4,150.0,0.1847,33.0,49.0,0.6391,0.0015,5.0343,-3.3702,1.5114,145.99,6878.8799,58.4,59.0,0.1848,255.0,225.0,-0.361,0.0015,5.0343,-3.3702,-0.9026,61.02,2026-02-27,149.7,58.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6310,SPXW,2026-03-13,6795,145.6,146.2,0.1835,24.0,61.0,0.6322,0.0015,5.0653,-3.37,1.4958,139.4,6878.8799,59.7,60.2,0.1835,59.0,84.0,-0.3679,0.0015,5.0653,-3.37,-0.9201,57.4,2026-02-27,145.89999999999998,59.95,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6311,SPXW,2026-03-13,6800,141.8,142.6,0.1823,319.0,83.0,0.6252,0.0016,5.0949,-3.3685,1.4799,138.64,6878.8799,60.9,61.4,0.1823,1342.0,866.0,-0.3749,0.0016,5.0949,-3.3685,-0.9377,61.64,2026-02-27,142.2,61.15,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6312,SPXW,2026-03-13,6805,138.2,138.8,0.181,46.0,61.0,0.6181,0.0016,5.1231,-3.3657,1.4639,128.56,6878.8799,62.2,62.7,0.1811,100.0,228.0,-0.382,0.0016,5.1231,-3.3657,-0.9554,63.4,2026-02-27,138.5,62.45,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6313,SPXW,2026-03-13,6810,134.5,135.2,0.1798,84.0,15.0,0.6109,0.0016,5.15,-3.3616,1.4477,132.37,6878.8799,63.5,64.0,0.1798,869.0,168.0,-0.3893,0.0016,5.15,-3.3616,-0.9735,64.2,2026-02-27,134.85,63.75,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6314,SPXW,2026-03-13,6815,130.8,131.4,0.1786,30.0,0.0,0.6035,0.0016,5.1756,-3.356,1.4311,176.99,6878.8799,64.8,65.4,0.1786,137.0,167.0,-0.3966,0.0016,5.1756,-3.356,-0.9918,65.25,2026-02-27,131.10000000000002,65.1,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6315,SPXW,2026-03-13,6820,127.2,127.8,0.1773,69.0,19.0,0.596,0.0016,5.2001,-3.3491,1.4141,125.17,6878.8799,66.1,66.7,0.1773,218.0,1419.0,-0.4041,0.0016,5.2001,-3.3491,-1.0106,65.5,2026-02-27,127.5,66.4,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6316,SPXW,2026-03-13,6825,123.6,124.1,0.1759,58.0,35.0,0.5884,0.0016,5.2232,-3.3406,1.3965,117.9,6878.8799,67.5,68.1,0.176,205.0,551.0,-0.4118,0.0016,5.2232,-3.3406,-1.03,67.69,2026-02-27,123.85,67.8,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6317,SPXW,2026-03-13,6830,120.0,120.6,0.1747,92.0,69.0,0.5806,0.0017,5.2449,-3.3306,1.3785,115.6,6878.8799,68.9,69.5,0.1748,305.0,5672.0,-0.4196,0.0017,5.2449,-3.3306,-1.0498,69.67,2026-02-27,120.3,69.2,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6318,SPXW,2026-03-13,6835,116.4,117.0,0.1734,37.0,37.0,0.5727,0.0017,5.2648,-3.319,1.36,116.6,6878.8799,70.4,71.0,0.1735,129.0,132.0,-0.4275,0.0017,5.2648,-3.319,-1.07,72.5,2026-02-27,116.7,70.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6319,SPXW,2026-03-13,6840,112.9,113.5,0.1721,94.0,219.0,0.5646,0.0017,5.2829,-3.3057,1.3412,113.27,6878.8799,71.8,72.4,0.1721,303.0,201.0,-0.4355,0.0017,5.2829,-3.3057,-1.0906,72.6,2026-02-27,113.2,72.1,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6320,SPXW,2026-03-13,6845,109.4,110.0,0.1707,39.0,232.0,0.5564,0.0017,5.299,-3.2908,1.3223,109.82,6878.8799,73.4,73.9,0.1709,176.0,58.0,-0.4437,0.0017,5.299,-3.2908,-1.1113,75.4,2026-02-27,109.7,73.65,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6321,SPXW,2026-03-13,6850,106.0,106.6,0.1694,1781.0,226.0,0.5481,0.0017,5.313,-3.2742,1.3033,106.3,6878.8799,74.9,75.5,0.1695,1001.0,636.0,-0.4521,0.0017,5.313,-3.2742,-1.1321,75.77,2026-02-27,106.3,75.2,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6322,SPXW,2026-03-13,6855,102.6,103.2,0.1682,41.0,95.0,0.5396,0.0018,5.3248,-3.2558,1.2839,96.57,6878.8799,76.5,77.2,0.1681,91.0,90.0,-0.4606,0.0018,5.3248,-3.2558,-1.1532,75.68,2026-02-27,102.9,76.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6323,SPXW,2026-03-13,6860,99.2,99.8,0.1668,105.0,144.0,0.531,0.0018,5.3346,-3.2357,1.2642,99.27,6878.8799,78.1,78.7,0.1668,297.0,386.0,-0.4692,0.0018,5.3346,-3.2357,-1.1748,79.39,2026-02-27,99.5,78.4,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6324,SPXW,2026-03-13,6865,95.8,96.4,0.1655,135.0,43.0,0.5222,0.0018,5.3421,-3.2137,1.2438,85.96,6878.8799,79.7,80.3,0.1655,767.0,216.0,-0.478,0.0018,5.3421,-3.2137,-1.1969,82.0,2026-02-27,96.1,80.0,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6325,SPXW,2026-03-13,6870,92.5,93.1,0.164,246.0,306.0,0.5132,0.0018,5.3473,-3.1899,1.2229,90.59,6878.8799,81.4,82.0,0.1641,272.0,664.0,-0.4869,0.0018,5.3473,-3.1899,-1.2196,82.2,2026-02-27,92.8,81.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6326,SPXW,2026-03-13,6875,89.3,89.8,0.1627,413.0,86.0,0.5042,0.0018,5.3499,-3.1641,1.2014,89.5,6878.8799,83.1,83.7,0.1628,460.0,493.0,-0.496,0.0018,5.3499,-3.1641,-1.2429,83.32,2026-02-27,89.55,83.4,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6327,SPXW,2026-03-13,6880,86.0,86.6,0.1612,191.0,104.0,0.4949,0.0018,5.3498,-3.1363,1.1795,85.67,6878.8799,84.9,85.5,0.1614,526.0,2872.0,-0.5052,0.0018,5.3498,-3.1363,-1.2665,85.71,2026-02-27,86.3,85.2,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6328,SPXW,2026-03-13,6885,82.8,83.4,0.1599,95.0,190.0,0.4855,0.0019,5.3469,-3.1066,1.1575,83.1,6878.8799,86.7,87.3,0.16,202.0,74.0,-0.5146,0.0019,5.3469,-3.1066,-1.2903,89.58,2026-02-27,83.1,87.0,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6329,SPXW,2026-03-13,6890,79.6,80.3,0.1585,145.0,95.0,0.476,0.0019,5.3411,-3.0748,1.1354,79.6,6878.8799,88.4,89.1,0.1585,192.0,47.0,-0.5242,0.0019,5.3411,-3.0748,-1.3142,90.03,2026-02-27,79.94999999999999,88.75,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6330,SPXW,2026-03-13,6895,76.6,77.1,0.1571,149.0,173.0,0.4662,0.0019,5.3323,-3.0411,1.113,75.23,6878.8799,90.4,91.0,0.1571,73.0,31.0,-0.5339,0.0019,5.3323,-3.0411,-1.3384,89.7,2026-02-27,76.85,90.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6331,SPXW,2026-03-13,6900,73.5,74.1,0.1557,1552.0,1811.0,0.4564,0.0019,5.3204,-3.0053,1.09,73.57,6878.8799,92.2,92.9,0.1557,1268.0,209.0,-0.5438,0.0019,5.3204,-3.0053,-1.3631,93.13,2026-02-27,73.8,92.55000000000001,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6332,SPXW,2026-03-13,6905,70.5,71.0,0.1542,136.0,98.0,0.4464,0.0019,5.3048,-2.9676,1.0665,69.37,6878.8799,94.2,94.9,0.1542,264.0,17.0,-0.5538,0.0019,5.3048,-2.9676,-1.3884,96.0,2026-02-27,70.75,94.55000000000001,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6333,SPXW,2026-03-13,6910,67.5,68.1,0.1528,436.0,111.0,0.4362,0.0019,5.2856,-2.9278,1.0422,65.95,6878.8799,96.3,96.9,0.1528,156.0,25.0,-0.564,0.0019,5.2856,-2.9278,-1.4145,98.05,2026-02-27,67.8,96.6,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6334,SPXW,2026-03-13,6915,64.6,65.1,0.1512,32.0,51.0,0.4259,0.0019,5.2625,-2.8859,1.0176,61.42,6878.8799,98.4,99.0,0.1513,90.0,20.0,-0.5743,0.0019,5.2625,-2.8859,-1.4409,106.33,2026-02-27,64.85,98.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6335,SPXW,2026-03-13,6920,61.7,62.3,0.1498,1313.0,244.0,0.4154,0.0019,5.2358,-2.8421,0.9928,62.61,6878.8799,100.4,101.2,0.1499,185.0,105.0,-0.5847,0.0019,5.2358,-2.8421,-1.4674,102.04,2026-02-27,62.0,100.80000000000001,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6336,SPXW,2026-03-13,6925,58.9,59.4,0.1484,1390.0,585.0,0.4048,0.002,5.2055,-2.7964,0.968,58.59,6878.8799,102.6,103.4,0.1484,650.0,98.0,-0.5953,0.002,5.2055,-2.7964,-1.494,103.0,2026-02-27,59.15,103.0,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6337,SPXW,2026-03-13,6930,56.1,56.7,0.147,274.0,207.0,0.3941,0.002,5.1714,-2.7488,0.9431,55.57,6878.8799,104.9,105.5,0.1469,255.0,35.0,-0.606,0.002,5.1714,-2.7488,-1.5207,109.92,2026-02-27,56.400000000000006,105.2,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6338,SPXW,2026-03-13,6935,53.4,54.0,0.1455,231.0,95.0,0.3833,0.002,5.1332,-2.6994,0.9177,50.6,6878.8799,107.2,107.8,0.1455,46.0,4.0,-0.6168,0.002,5.1332,-2.6994,-1.5479,114.92,2026-02-27,53.7,107.5,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6339,SPXW,2026-03-13,6940,50.8,51.3,0.144,254.0,473.0,0.3724,0.002,5.0901,-2.6484,0.8916,51.0,6878.8799,109.4,110.1,0.1441,145.0,5.0,-0.6278,0.002,5.0901,-2.6484,-1.5758,125.14,2026-02-27,51.05,109.75,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6340,SPXW,2026-03-13,6945,48.2,48.7,0.1425,101.0,17.0,0.3614,0.002,5.0422,-2.5956,0.8651,48.65,6878.8799,111.8,112.5,0.1426,39.0,15.0,-0.6388,0.002,5.0422,-2.5956,-1.604,117.35,2026-02-27,48.45,112.15,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6341,SPXW,2026-03-13,6950,45.6,46.1,0.141,1659.0,218.0,0.3503,0.002,4.9897,-2.5413,0.8386,45.85,6878.8799,114.2,115.0,0.141,1116.0,45.0,-0.6498,0.002,4.9897,-2.5413,-1.6324,117.21,2026-02-27,45.85,114.6,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6342,SPXW,2026-03-13,6955,43.2,43.7,0.1395,311.0,86.0,0.3392,0.002,4.9334,-2.4854,0.8122,45.3,6878.8799,116.8,117.6,0.1395,18.0,5.0,-0.6609,0.002,4.9334,-2.4854,-1.6605,122.27,2026-02-27,43.45,117.19999999999999,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6343,SPXW,2026-03-13,6960,40.8,41.3,0.1381,288.0,527.0,0.328,0.0019,4.8733,-2.428,0.786,40.86,6878.8799,119.5,120.2,0.1381,192.0,27.0,-0.6721,0.0019,4.8733,-2.428,-1.6885,121.7,2026-02-27,41.05,119.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6344,SPXW,2026-03-13,6965,38.4,38.9,0.1365,165.0,42.0,0.3168,0.0019,4.8088,-2.369,0.7595,39.3,6878.8799,122.0,122.8,0.1366,23.0,12.0,-0.6833,0.0019,4.8088,-2.369,-1.7168,141.15,2026-02-27,38.65,122.4,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6345,SPXW,2026-03-13,6970,36.2,36.7,0.1352,780.0,215.0,0.3056,0.0019,4.7389,-2.3083,0.7325,36.03,6878.8799,124.8,125.6,0.1352,76.0,12.0,-0.6946,0.0019,4.7389,-2.3083,-1.7455,126.53,2026-02-27,36.45,125.19999999999999,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6346,SPXW,2026-03-13,6975,34.0,34.5,0.1337,1441.0,161.0,0.2943,0.0019,4.6634,-2.2458,0.7052,34.4,6878.8799,125.4,130.3,0.1336,1342.0,95.0,-0.7058,0.0019,4.6634,-2.2458,-1.7746,131.54,2026-02-27,34.25,127.85000000000001,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6347,SPXW,2026-03-13,6980,31.9,32.3,0.1323,1167.0,168.0,0.283,0.0019,4.5828,-2.1814,0.6781,31.8,6878.8799,128.6,133.2,0.1321,61.0,28.0,-0.7171,0.0019,4.5828,-2.1814,-1.8035,138.08,2026-02-27,32.099999999999994,130.89999999999998,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6348,SPXW,2026-03-13,6985,29.8,30.3,0.1308,568.0,123.0,0.2717,0.0019,4.4982,-2.1149,0.6513,30.0,6878.8799,129.2,137.6,0.1312,30.0,68.0,-0.7284,0.0019,4.4982,-2.1149,-1.8321,151.11,2026-02-27,30.05,133.39999999999998,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6349,SPXW,2026-03-13,6990,27.8,28.3,0.1294,287.0,172.0,0.2603,0.0018,4.4094,-2.0462,0.6245,27.9,6878.8799,134.4,139.2,0.1292,41.0,5.0,-0.7398,0.0018,4.4094,-2.0462,-1.8607,138.9,2026-02-27,28.05,136.8,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6350,SPXW,2026-03-13,6995,25.9,26.4,0.128,87.0,126.0,0.2489,0.0018,4.3151,-1.9753,0.5972,25.88,6878.8799,135.3,143.7,0.1261,33.0,69.0,-0.7512,0.0018,4.3151,-1.9753,-1.8897,159.86,2026-02-27,26.15,139.5,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6351,SPXW,2026-03-13,7000,24.1,24.6,0.1266,3358.0,2527.0,0.2375,0.0018,4.2139,-1.9022,0.5694,24.06,6878.8799,140.2,145.5,0.1262,2661.0,191.0,-0.7626,0.0018,4.2139,-1.9022,-1.9192,139.48,2026-02-27,24.35,142.85,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6352,SPXW,2026-03-13,7005,22.3,22.8,0.1251,119.0,166.0,0.2261,0.0018,4.1063,-1.8269,0.5418,22.7,6878.8799,141.7,150.1,0.1231,13.0,3.0,-0.7741,0.0018,4.1063,-1.8269,-1.9486,152.6,2026-02-27,22.55,145.89999999999998,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6353,SPXW,2026-03-13,7010,20.6,21.1,0.1237,472.0,185.0,0.2146,0.0017,3.994,-1.7496,0.5146,21.6,6878.8799,146.6,152.0,0.1227,23.0,2.0,-0.7855,0.0017,3.994,-1.7496,-1.9776,145.82,2026-02-27,20.85,149.3,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6354,SPXW,2026-03-13,7015,19.0,19.5,0.1222,111.0,123.0,0.2032,0.0017,3.8776,-1.6706,0.4875,19.95,6878.8799,148.3,156.8,0.1201,15.0,0.0,-0.797,0.0017,3.8776,-1.6706,-2.0065,129.0,2026-02-27,19.25,152.55,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6355,SPXW,2026-03-13,7020,17.5,17.9,0.1209,312.0,250.0,0.1918,0.0017,3.7555,-1.5903,0.46,17.75,6878.8799,153.4,158.9,0.1198,29.0,0.0,-0.8084,0.0017,3.7555,-1.5903,-2.0358,132.04,2026-02-27,17.7,156.15,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6356,SPXW,2026-03-13,7025,16.1,16.5,0.1195,1112.0,752.0,0.1805,0.0016,3.6264,-1.509,0.4325,16.3,6878.8799,157.2,162.6,0.1184,18.0,6.0,-0.8197,0.0016,3.6264,-1.509,-2.065,159.79,2026-02-27,16.3,159.89999999999998,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6357,SPXW,2026-03-13,7030,14.7,15.1,0.1181,277.0,212.0,0.1693,0.0016,3.4924,-1.4272,0.4058,15.64,6878.8799,160.4,166.1,0.1178,21.0,0.0,-0.8308,0.0016,3.4924,-1.4272,-2.0936,116.2,2026-02-27,14.899999999999999,163.25,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6358,SPXW,2026-03-13,7035,13.4,13.8,0.1169,173.0,121.0,0.1584,0.0015,3.3559,-1.3456,0.3798,13.6,6878.8799,162.5,171.1,0.1139,3.0,0.0,-0.8418,0.0015,3.3559,-1.3456,-2.1213,116.52,2026-02-27,13.600000000000001,166.8,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6359,SPXW,2026-03-13,7040,12.2,12.6,0.1154,304.0,318.0,0.1476,0.0015,3.217,-1.2648,0.354,12.9,6878.8799,167.7,173.5,0.115,14.0,0.0,-0.8525,0.0015,3.217,-1.2648,-2.1489,176.7,2026-02-27,12.399999999999999,170.6,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6360,SPXW,2026-03-13,7045,11.1,11.4,0.1142,33.0,321.0,0.1372,0.0014,3.0743,-1.1855,0.3287,11.23,6878.8799,170.2,178.6,0.1112,0.0,0.0,-0.8629,0.0014,3.0743,-1.1855,-2.176,0.0,2026-02-27,11.25,174.39999999999998,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6361,SPXW,2026-03-13,7050,10.0,10.3,0.1128,1724.0,590.0,0.1272,0.0014,2.9296,-1.1083,0.3047,10.09,6878.8799,175.8,181.3,0.1125,16.0,5.0,-0.8729,0.0014,2.9296,-1.1083,-2.2018,198.12,2026-02-27,10.15,178.55,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6362,SPXW,2026-03-13,7055,9.0,9.4,0.1115,185.0,34.0,0.1177,0.0013,2.7865,-1.0338,0.282,9.0,6878.8799,178.0,186.5,0.1087,0.0,0.0,-0.8825,0.0013,2.7865,-1.0338,-2.2262,0.0,2026-02-27,9.2,182.25,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6363,SPXW,2026-03-13,7060,8.1,8.4,0.1103,522.0,263.0,0.1086,0.0013,2.6457,-0.9626,0.2601,8.15,6878.8799,183.4,189.3,0.1094,12.0,1.0,-0.8915,0.0013,2.6457,-0.9626,-2.2499,191.36,2026-02-27,8.25,186.35000000000002,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6364,SPXW,2026-03-13,7065,7.2,7.6,0.1091,207.0,687.0,0.1001,0.0012,2.5066,-0.8953,0.2394,7.3,6878.8799,186.2,194.7,0.1056,0.0,0.0,-0.9,0.0012,2.5066,-0.8953,-2.2724,0.0,2026-02-27,7.4,190.45,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6365,SPXW,2026-03-13,7070,6.4,6.8,0.1078,883.0,179.0,0.0922,0.0011,2.3707,-0.8321,0.2204,6.64,6878.8799,191.7,197.7,0.1069,3.0,0.0,-0.908,0.0011,2.3707,-0.8321,-2.2931,163.18,2026-02-27,6.6,194.7,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6366,SPXW,2026-03-13,7075,5.7,6.1,0.107,1042.0,607.0,0.0848,0.0011,2.2407,-0.7734,0.203,5.95,6878.8799,196.4,202.3,0.1061,31.0,0.0,-0.9153,0.0011,2.2407,-0.7734,-2.3124,150.53,2026-02-27,5.9,199.35000000000002,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
6367,SPXW,2026-03-13,7080,5.1,5.4,0.106,849.0,133.0,0.0781,0.001,2.1174,-0.7192,0.1866,5.27,6878.8799,200.3,206.5,0.1051,2.0,1.0,-0.9221,0.001,2.1174,-0.7192,-2.3305,234.35,2026-02-27,5.25,203.4,14,0.038356164383561646,0.04137582061286327,0.0329124132822814,0.008463407330581867
